device_type time pose Biceps_effort Triceps_effort Biceps_E_T Triceps_E_T
E 693.711177908 0.0 100.0 100.0 10 10
H 693.715031506 1.0 100.0 100.0 10 10
E 693.769866090 0.0 100.0 100.0 10 10
H 693.773844008 1.0 100.0 100.0 10 10
E 693.818868274 0.0 100.0 100.0 10 10
H 693.822723566 1.0 100.0 100.0 10 10
E 693.867870612 0.0 100.0 100.0 10 10
H 693.871831366 1.0 100.0 100.0 10 10
E 693.917540722 0.0 100.0 100.0 10 10
H 693.921386998 1.0 100.0 100.0 10 10
E 693.975675414 0.0 100.0 100.0 10 10
H 693.979528914 1.0 100.0 100.0 10 10
E 694.044677640 0.0 100.0 100.0 10 10
H 694.048560694 1.0 100.0 100.0 10 10
E 694.093679950 0.0 100.0 100.0 10 10
H 694.097444354 1.0 100.0 100.0 10 10
E 694.142796640 0.0 100.0 100.0 10 10
H 694.146762588 1.0 100.0 100.0 10 10
E 694.201484724 0.0 100.0 100.0 10 10
H 694.205337412 1.0 100.0 100.0 10 10
E 694.250486964 0.0 100.0 100.0 10 10
H 694.254340352 1.0 100.0 100.0 10 10
E 694.299489288 0.0 100.0 100.0 10 10
H 694.303466198 1.0 100.0 100.0 10 10
E 694.348606048 0.0 100.0 100.0 10 10
H 694.352458400 1.0 100.0 100.0 10 10
E 694.407294132 0.0 100.0 100.0 10 10
H 694.411250910 1.0 100.0 100.0 10 10
E 694.456296582 0.0 100.0 100.0 10 10
H 694.460151202 1.0 100.0 100.0 10 10
E 694.505298724 0.0 100.0 100.0 10 10
H 694.509151440 1.0 100.0 100.0 10 10
E 694.554414238 0.0 100.0 100.0 10 10
H 694.558392156 1.0 100.0 100.0 10 10
E 694.613103708 0.0 100.0 100.0 10 10
H 694.616953358 1.0 100.0 100.0 10 10
E 694.662105990 0.0 100.0 100.0 10 10
H 694.666066730 1.0 100.0 100.0 10 10
E 694.711108174 0.0 100.0 100.0 10 10
